aubrey_identifier	display_title	dc_subject.KWD_facet																		
ark:/67531/metapth241084	Cutting Horse Competition: Image 1991_D-244_04	NCHA	derbies	horse shows																
ark:/67531/metapth241085	Cutting Horse Competition: Image 1991_D-244_05	NCHA	derbies	horse shows																
ark:/67531/metapth241086	Cutting Horse Competition: Image 1991_D-244_06	NCHA	derbies	horse shows																
ark:/67531/metapth241087	Cutting Horse Competition: Image 1991_D-244_07	NCHA	derbies	horse shows																
ark:/67531/metapth241088	Cutting Horse Competition: Image 1991_D-244_08	NCHA	derbies	horse shows																
ark:/67531/metapth241089	Cutting Horse Competition: Image 1991_D-244_09	NCHA	derbies	horse shows																
ark:/67531/metapth241090	Cutting Horse Competition: Image 1991_D-244_10	NCHA	derbies	horse shows																
ark:/67531/metapth241091	Cutting Horse Competition: Image 1991_D-244_11	NCHA	derbies	horse shows																
ark:/67531/metapth241092	Cutting Horse Competition: Image 1991_D-244_12	NCHA	derbies	horse shows																
ark:/67531/metapth241093	Cutting Horse Competition: Image 1991_D-245_01	NCHA	derbies	horse shows																
ark:/67531/metapth241094	Cutting Horse Competition: Image 1991_D-245_02	NCHA	derbies	horse shows																
ark:/67531/metapth241095	Cutting Horse Competition: Image 1991_D-245_03	NCHA	derbies	horse shows																
ark:/67531/metapth241096	Cutting Horse Competition: Image 1991_D-245_04	NCHA	derbies	horse shows																
ark:/67531/metapth241097	Cutting Horse Competition: Image 1991_D-245_05	NCHA	derbies	horse shows																
ark:/67531/metapth241098	Cutting Horse Competition: Image 1991_D-245_06	NCHA	derbies	horse shows																
ark:/67531/metapth241099	Cutting Horse Competition: Image 1991_D-245_07	NCHA	derbies	horse shows																
ark:/67531/metapth241100	Cutting Horse Competition: Image 1991_D-245_08	NCHA	derbies	horse shows																
ark:/67531/metapth241101	Cutting Horse Competition: Image 1991_D-245_09	NCHA	derbies	horse shows																
ark:/67531/metapth241102	Cutting Horse Competition: Image 1991_D-245_10	NCHA	derbies	horse shows																
ark:/67531/metapth241103	Cutting Horse Competition: Image 1991_D-245_11	NCHA	derbies	horse shows																
ark:/67531/metapth241104	Cutting Horse Competition: Image 1991_D-246_01	NCHA	derbies	horse shows																
ark:/67531/metapth241105	Cutting Horse Competition: Image 1991_D-246_02	NCHA	derbies	horse shows																
ark:/67531/metapth241106	Cutting Horse Competition: Image 1991_D-246_03	NCHA	derbies	horse shows																
ark:/67531/metapth241107	Cutting Horse Competition: Image 1991_D-246_04	NCHA	derbies	horse shows																
ark:/67531/metapth241108	Cutting Horse Competition: Image 1991_D-246_06	NCHA	derbies	horse shows																
ark:/67531/metapth241109	Cutting Horse Competition: Image 1991_D-246_07	NCHA	derbies	horse shows																
ark:/67531/metapth241110	Cutting Horse Competition: Image 1991_D-246_08	NCHA	derbies	horse shows																
ark:/67531/metapth241111	Cutting Horse Competition: Image 1991_D-246_09	NCHA	derbies	horse shows																
ark:/67531/metapth241112	Cutting Horse Competition: Image 1991_D-246_10	NCHA	derbies	horse shows																
ark:/67531/metapth241113	Cutting Horse Competition: Image 1991_D-246_11	NCHA	derbies	horse shows																
ark:/67531/metapth241114	Cutting Horse Competition: Image 1991_D-246_12	NCHA	derbies	horse shows																
ark:/67531/metapth241115	Cutting Horse Competition: Image 1991_D-247_02	NCHA	derbies	horse shows																
ark:/67531/metapth241116	Cutting Horse Competition: Image 1991_D-247_03	NCHA	derbies	horse shows																
ark:/67531/metapth241118	Cutting Horse Competition: Image 1991_D-247_04	NCHA	derbies	horse shows																
ark:/67531/metapth241119	Cutting Horse Competition: Image 1991_D-247_05	NCHA	derbies	horse shows																
ark:/67531/metapth241120	Cutting Horse Competition: Image 1991_D-247_06	NCHA	derbies	horse shows																
ark:/67531/metapth241121	Cutting Horse Competition: Image 1991_D-247_07	NCHA	derbies	horse shows																
ark:/67531/metapth241122	Cutting Horse Competition: Image 1991_D-247_08	NCHA	derbies	horse shows																
ark:/67531/metapth241123	Cutting Horse Competition: Image 1991_D-247_09	NCHA	derbies	horse shows																
ark:/67531/metapth241124	Cutting Horse Competition: Image 1991_D-247_10	NCHA	derbies	horse shows																
