field,county,state,subfeild,year,count
str_location_county,CherokeeCounty,TX,untl_decade,1890-1899,95
str_location_county,CherokeeCounty,TX,untl_decade,1900-1909,142
str_location_county,CherokeeCounty,TX,untl_decade,1910-1919,342
str_location_county,CherokeeCounty,TX,untl_decade,1920-1929,324
str_location_county,CherokeeCounty,TX,untl_decade,1930-1939,938
str_location_county,CherokeeCounty,TX,untl_decade,1940-1949,709
str_location_county,CherokeeCounty,TX,untl_decade,1950-1959,969
str_location_county,CherokeeCounty,TX,untl_decade,1960-1969,880
str_location_county,CherokeeCounty,TX,untl_decade,1970-1979,625
str_location_county,CherokeeCounty,TX,untl_decade,1980-1989,851
str_location_county,CherokeeCounty,TX,untl_decade,1990-1999,522
str_location_county,CherokeeCounty,TX,untl_decade,2000-2009,524
str_location_county,CherokeeCounty,TX,untl_decade,2010-2019,231
str_location_county,ChildressCounty,TX,untl_decade,1900-1909,2
str_location_county,ChildressCounty,TX,untl_decade,1910-1919,19
str_location_county,ChildressCounty,TX,untl_decade,1940-1949,1
str_location_county,ClayCounty,TX,untl_decade,1910-1919,1
str_location_county,ClayCounty,TX,untl_decade,1920-1929,92
str_location_county,ColemanCounty,TX,untl_decade,1890-1899,88
str_location_county,ColemanCounty,TX,untl_decade,1900-1909,136
str_location_county,ColemanCounty,TX,untl_decade,1910-1919,532
str_location_county,ColemanCounty,TX,untl_decade,1920-1929,507
str_location_county,ColemanCounty,TX,untl_decade,1930-1939,886
str_location_county,ColemanCounty,TX,untl_decade,1940-1949,1144
str_location_county,ColemanCounty,TX,untl_decade,1950-1959,801
str_location_county,ColemanCounty,TX,untl_decade,1960-1969,521
str_location_county,ColemanCounty,TX,untl_decade,1970-1979,521
str_location_county,ColemanCounty,TX,untl_decade,1980-1989,627
str_location_county,ColemanCounty,TX,untl_decade,2010-2019,302
str_location_county,CollinCounty,TX,untl_decade,1860-1869,10
str_location_county,CollinCounty,TX,untl_decade,1870-1879,37
str_location_county,CollinCounty,TX,untl_decade,1880-1889,247
str_location_county,CollinCounty,TX,untl_decade,1890-1899,496
str_location_county,CollinCounty,TX,untl_decade,1900-1909,524
str_location_county,CollinCounty,TX,untl_decade,1910-1919,678
str_location_county,CollinCounty,TX,untl_decade,1920-1929,490
str_location_county,CollinCounty,TX,untl_decade,1930-1939,396
str_location_county,CollinCounty,TX,untl_decade,1940-1949,835
str_location_county,CollinCounty,TX,untl_decade,1950-1959,580
str_location_county,CollinCounty,TX,untl_decade,1960-1969,515
str_location_county,CollinCounty,TX,untl_decade,1970-1979,514
str_location_county,CollinCounty,TX,untl_decade,1980-1989,369
str_location_county,CollinCounty,TX,untl_decade,1990-1999,409
str_location_county,CollinCounty,TX,untl_decade,2000-2009,167
str_location_county,CollinCounty,TX,untl_decade,2010-2019,103
str_location_county,CollingsworthCounty,TX,untl_decade,1920-1929,134
str_location_county,ColoradoCounty,TX,untl_decade,1850-1859,77
str_location_county,ColoradoCounty,TX,untl_decade,1860-1869,51
str_location_county,ColoradoCounty,TX,untl_decade,1870-1879,7
str_location_county,ColoradoCounty,TX,untl_decade,1880-1889,1
str_location_county,ColoradoCounty,TX,untl_decade,1910-1919,1
str_location_county,ComalCounty,TX,untl_decade,1850-1859,53
str_location_county,ComancheCounty,TX,untl_decade,1870-1879,36
str_location_county,ComancheCounty,TX,untl_decade,1880-1889,140
str_location_county,ComancheCounty,TX,untl_decade,1890-1899,2
str_location_county,ComancheCounty,TX,untl_decade,1900-1909,220
str_location_county,ComancheCounty,TX,untl_decade,1910-1919,485
